Genotypes,Block,Row,,Anthesis(before harvest),Wet Biomass(g),Weight to subtract (bag and  tie),Dry biomass (g),Weight to subtract (tray and dry tie)
CtrlLs,III,II,7,NF,43,31.4,120.1,117.2
CSLt,III,II,8,,,,,
CtrlLec,III,II,9,NF,45,31.4,121.3,117.2
CtrlLeb,III,II,10,F,49,31.4,122.5,117.2
CtrlLp,III,II,11,NF,68,31.4,127.8,117.2
CSLe,III,II,12,F,89,31.4,133.2,117.2
CtrlLha,III,II,13,NF,41,31.4,120,117.2
AgCS,III,II,14,F,93,31.4,134.3,117.2
CSLhb,III,II,15,F,73,31.4,129.3,117.2
CtrlCS,III,II,16,F,62,31.4,126.4,117.2
CSLex,III,II,17,F,66,31.4,128.7,117.2
CtrlLhb,III,II,18,NF,51,31.4,123.7,117.2
AgCS,IV,I,1,F,65,31.4,125.2,117.2
LDNLp,IV,I,2,NF,93,31.4,135.2,117.2
CSLs,IV,I,3,,,,,
CtrlLs,IV,I,4,NF,53,31.4,127.7,117.2
CtrlLea,IV,I,5,F,44,31.4,120.5,117.2
CSLha,IV,I,6,,,,,
CtrlLp,IV,I,7,NF,84,31.4,130.3,117.2
CSLhb,IV,I,8,,,,,
CtrlLt,IV,I,9,,,,,
CtrlLha,IV,I,10,NF,45,31.4,121.1,117.2
CtrlLec,IV,I,11,NF,41,31.4,119.7,117.2
CtrlLeb,IV,I,12,NF,44,31.4,121,117.2
CSLe,IV,I,13,,,,,
CtrlCS,IV,I,14,F,93,31.4,134.1,117.2
BeCS,IV,I,15,F,41,31.4,118.4,117.2
CSLt,IV,I,16,NF,156,31.4,151.9,117.2
CtrlLhb,IV,I,17,NF,48,31.4,121.9,117.2
CSLex,IV,I,18,F,38,31.4,118.6,117.2
CtrlLt,IV,II,1,,,,,
CSLex,IV,II,2,F,71,31.4,129.3,117.2
CtrlLha,IV,II,3,,,,,
CtrlLec,IV,II,4,NF,35,31.4,117.3,117.2
CtrlCS,IV,II,5,F,100,31.4,137.7,117.2
CSLt,IV,II,6,NF,102,31.4,138.9,117.2
AgCS,IV,II,7,F,59,31.4,124.5,117.2
CSLha,IV,II,8,F,56,31.4,123.6,117.2
CSLe,IV,II,9,F,55,31.4,122.6,117.2
CtrlLea,IV,II,10,NF,64,31.4,127.3,117.2
CtrlLeb,IV,II,11,NF,43,31.4,120.1,117.2
CSLhb,IV,II,12,,,,,
CtrlLp,IV,II,13,NF,152,31.4,146.7,117.2
CSLs,IV,II,14,,,,,
CtrlLs,IV,II,15,,,,,
LDNLp,IV,II,16,NF,84,31.4,131.2,117.2
